

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 3
日期	2023/6/29
时间	9:22:19
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
548	2.057	1.842	1.957	0.856	1.165	0.158																																																																																										
549	2.039	1.823	1.940	0.850	1.156	0.158																																																																																										
550	2.018	1.800	1.920	0.844	1.146	0.158																																																																																										
551	1.996	1.777	1.899	0.837	1.135	0.158																																																																																										
552	1.973	1.752	1.877	0.830	1.123	0.159																																																																																										
553	1.950	1.728	1.855	0.823	1.113	0.159																																																																																										
554	1.926	1.702	1.831	0.815	1.101	0.159																																																																																										
555	1.900	1.677	1.807	0.809	1.090	0.159																																																																																										
556	1.872	1.648	1.779	0.800	1.077	0.160																																																																																										
557	1.845	1.620	1.754	0.792	1.065	0.160																																																																																										
558	1.815	1.590	1.723	0.784	1.051	0.160																																																																																										
559	1.784	1.559	1.693	0.775	1.038	0.160																																																																																										
560	1.758	1.533	1.668	0.768	1.026	0.160																																																																																										
561	1.729	1.503	1.639	0.759	1.013	0.160																																																																																										
562	1.701	1.476	1.612	0.751	1.000	0.160																																																																																										
563	1.675	1.451	1.585	0.744	0.989	0.160																																																																																										
564	1.647	1.424	1.558	0.736	0.976	0.160																																																																																										
565	1.615	1.394	1.526	0.727	0.962	0.161																																																																																										
566	1.588	1.367	1.499	0.719	0.950	0.161																																																																																										
567	1.559	1.339	1.470	0.710	0.937	0.161																																																																																										
568	1.531	1.313	1.443	0.702	0.925	0.161																																																																																										
569	1.502	1.286	1.414	0.693	0.912	0.161																																																																																										
570	1.475	1.260	1.387	0.685	0.900	0.161																																																																																										
571	1.443	1.231	1.356	0.676	0.886	0.161																																																																																										
572	1.416	1.206	1.329	0.668	0.873	0.161																																																																																										
573	1.393	1.184	1.306	0.661	0.863	0.162																																																																																										
574	1.366	1.159	1.279	0.653	0.851	0.162																																																																																										
575	1.340	1.135	1.253	0.645	0.839	0.162																																																																																										
576	1.315	1.114	1.229	0.637	0.828	0.162																																																																																										
577	1.290	1.090	1.204	0.629	0.816	0.162																																																																																										
578	1.264	1.067	1.178	0.621	0.805	0.162																																																																																										
