

软件版本	3.11.19



实验文件路径:	C:\Users\inlab\Desktop\AuNSs400-800.xpt
方案文件路径:	



板编号	板 5
日期	2023/7/17
时间	13:30:10
检测仪类型:	Epoch 2
检测仪序列号:	2205170B
检测类型	检测仪

程序详细信息

板类型	96 WELL PLATE
完成后弹出板	
检测	吸收光 光谱
	A1..A6
	开始: 400 nm,  停止: 800 nm,  步骤: 1 nm
	检测前校准
	检测速度: 正常,  延迟: 100 msec,  测量值/数据点: 8

Spectrum

波长	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
537	0.621	0.620	0.605	0.632	0.678	0.730																																																																																										
538	0.610	0.610	0.596	0.623	0.669	0.721																																																																																										
539	0.596	0.596	0.584	0.611	0.658	0.708																																																																																										
540	0.583	0.583	0.572	0.599	0.646	0.696																																																																																										
541	0.572	0.572	0.561	0.588	0.636	0.686																																																																																										
542	0.560	0.560	0.551	0.578	0.627	0.675																																																																																										
543	0.549	0.550	0.540	0.568	0.617	0.665																																																																																										
544	0.536	0.536	0.528	0.556	0.605	0.652																																																																																										
545	0.522	0.522	0.515	0.542	0.592	0.638																																																																																										
546	0.509	0.508	0.502	0.530	0.579	0.625																																																																																										
547	0.497	0.495	0.489	0.517	0.567	0.612																																																																																										
548	0.485	0.483	0.478	0.505	0.555	0.600																																																																																										
549	0.475	0.473	0.468	0.495	0.546	0.589																																																																																										
550	0.463	0.460	0.456	0.482	0.533	0.576																																																																																										
551	0.451	0.447	0.444	0.469	0.521	0.563																																																																																										
552	0.440	0.435	0.432	0.458	0.508	0.550																																																																																										
553	0.429	0.424	0.421	0.447	0.497	0.538																																																																																										
554	0.418	0.413	0.410	0.435	0.486	0.526																																																																																										
555	0.409	0.403	0.400	0.425	0.476	0.516																																																																																										
556	0.399	0.392	0.389	0.414	0.465	0.503																																																																																										
557	0.390	0.381	0.379	0.404	0.454	0.492																																																																																										
558	0.380	0.371	0.368	0.393	0.443	0.481																																																																																										
559	0.371	0.361	0.359	0.382	0.433	0.470																																																																																										
560	0.362	0.351	0.349	0.372	0.423	0.459																																																																																										
561	0.354	0.342	0.341	0.363	0.413	0.449																																																																																										
562	0.348	0.335	0.334	0.356	0.406	0.441																																																																																										
563	0.341	0.328	0.326	0.348	0.398	0.433																																																																																										
564	0.334	0.320	0.319	0.340	0.390	0.424																																																																																										
565	0.327	0.312	0.311	0.332	0.381	0.415																																																																																										
566	0.321	0.305	0.304	0.324	0.374	0.407																																																																																										
567	0.315	0.299	0.297	0.317	0.367	0.399																																																																																										
568	0.310	0.293	0.291	0.311	0.360	0.392																																																																																										
569	0.304	0.286	0.284	0.304	0.353	0.384																																																																																										
570	0.299	0.280	0.279	0.298	0.346	0.377																																																																																										
571	0.293	0.274	0.272	0.291	0.339	0.370																																																																																										
572	0.288	0.268	0.267	0.285	0.333	0.363																																																																																										
573	0.283	0.263	0.262	0.280	0.327	0.357																																																																																										
574	0.279	0.258	0.257	0.274	0.322	0.351																																																																																										
575	0.275	0.254	0.252	0.270	0.317	0.346																																																																																										
576	0.271	0.249	0.247	0.265	0.312	0.341																																																																																										
577	0.267	0.245	0.243	0.260	0.307	0.335																																																																																										
578	0.264	0.240	0.239	0.255	0.302	0.330																																																																																										
579	0.259	0.236	0.234	0.250	0.297	0.325																																																																																										
580	0.256	0.232	0.230	0.246	0.292	0.319																																																																																										
581	0.253	0.228	0.226	0.242	0.288	0.315																																																																																										
582	0.249	0.225	0.222	0.238	0.284	0.310																																																																																										
583	0.246	0.221	0.219	0.234	0.280	0.306																																																																																										
584	0.243	0.217	0.215	0.230	0.275	0.301																																																																																										
585	0.240	0.214	0.212	0.227	0.272	0.297																																																																																										
586	0.237	0.211	0.208	0.223	0.268	0.293																																																																																										
587	0.234	0.208	0.205	0.220	0.264	0.289																																																																																										
588	0.232	0.205	0.202	0.216	0.261	0.286																																																																																										
589	0.229	0.202	0.200	0.214	0.258	0.282																																																																																										
590	0.227	0.200	0.197	0.211	0.255	0.280																																																																																										
591	0.225	0.197	0.195	0.209	0.253	0.276																																																																																										
592	0.223	0.195	0.192	0.206	0.249	0.273																																																																																										
593	0.221	0.193	0.190	0.203	0.247	0.270																																																																																										
594	0.219	0.190	0.188	0.201	0.244	0.267																																																																																										
595	0.217	0.188	0.185	0.199	0.241	0.264																																																																																										
596	0.215	0.186	0.183	0.196	0.239	0.262																																																																																										
597	0.213	0.184	0.181	0.194	0.237	0.260																																																																																										
598	0.211	0.182	0.179	0.192	0.235	0.257																																																																																										
599	0.210	0.181	0.177	0.190	0.233	0.255																																																																																										
600	0.208	0.179	0.175	0.188	0.231	0.252																																																																																										
601	0.206	0.176	0.173	0.186	0.228	0.250																																																																																										
602	0.204	0.175	0.172	0.184	0.226	0.247																																																																																										
603	0.203	0.173	0.170	0.182	0.224	0.245																																																																																										
604	0.202	0.172	0.168	0.181	0.222	0.243																																																																																										
605	0.201	0.171	0.167	0.179	0.221	0.242																																																																																										
606	0.199	0.169	0.165	0.177	0.219	0.240																																																																																										
607	0.198	0.168	0.164	0.176	0.218	0.238																																																																																										
608	0.197	0.166	0.163	0.174	0.216	0.236																																																																																										
609	0.195	0.165	0.161	0.173	0.214	0.234																																																																																										
610	0.194	0.164	0.160	0.172	0.213	0.233																																																																																										
611	0.193	0.162	0.158	0.170	0.211	0.231																																																																																										
612	0.192	0.161	0.157	0.169	0.210	0.229																																																																																										
613	0.191	0.160	0.156	0.167	0.209	0.228																																																																																										
614	0.189	0.159	0.155	0.166	0.207	0.226																																																																																										
615	0.188	0.158	0.153	0.165	0.206	0.225																																																																																										
616	0.187	0.156	0.152	0.163	0.204	0.223																																																																																										
617	0.186	0.155	0.151	0.162	0.203	0.222																																																																																										
618	0.185	0.154	0.150	0.161	0.202	0.220																																																																																										
619	0.184	0.153	0.149	0.160	0.201	0.219																																																																																										
620	0.182	0.152	0.148	0.159	0.199	0.217																																																																																										
621	0.181	0.151	0.146	0.157	0.198	0.216																																																																																										
622	0.180	0.150	0.145	0.156	0.197	0.215																																																																																										
623	0.179	0.149	0.144	0.155	0.196	0.213																																																																																										
624	0.178	0.148	0.143	0.154	0.195	0.212																																																																																										
625	0.177	0.147	0.142	0.153	0.194	0.211																																																																																										
626	0.177	0.146	0.141	0.152	0.193	0.210																																																																																										
627	0.176	0.145	0.141	0.151	0.192	0.209																																																																																										
628	0.175	0.144	0.140	0.150	0.191	0.208																																																																																										
629	0.174	0.144	0.139	0.149	0.190	0.207																																																																																										
630	0.173	0.143	0.138	0.148	0.190	0.205																																																																																										
631	0.172	0.142	0.137	0.147	0.189	0.204																																																																																										
632	0.171	0.141	0.137	0.146	0.188	0.203																																																																																										
633	0.170	0.140	0.136	0.146	0.187	0.202																																																																																										
634	0.170	0.140	0.135	0.145	0.186	0.201																																																																																										
635	0.169	0.139	0.134	0.144	0.185	0.200																																																																																										
636	0.168	0.138	0.134	0.143	0.184	0.199																																																																																										
637	0.167	0.137	0.133	0.142	0.184	0.198																																																																																										
638	0.166	0.137	0.132	0.142	0.183	0.197																																																																																										
639	0.165	0.136	0.132	0.141	0.182	0.196																																																																																										
640	0.165	0.135	0.131	0.140	0.181	0.196																																																																																										
641	0.164	0.134	0.130	0.139	0.181	0.195																																																																																										
642	0.163	0.134	0.130	0.139	0.180	0.194																																																																																										
643	0.162	0.133	0.129	0.138	0.179	0.193																																																																																										
644	0.162	0.132	0.128	0.137	0.179	0.192																																																																																										
645	0.161	0.132	0.128	0.137	0.178	0.191																																																																																										
646	0.160	0.131	0.127	0.136	0.177	0.190																																																																																										
647	0.159	0.130	0.127	0.135	0.177	0.189																																																																																										
648	0.159	0.129	0.126	0.135	0.176	0.189																																																																																										
649	0.158	0.129	0.125	0.134	0.175	0.188																																																																																										
650	0.157	0.128	0.125	0.133	0.175	0.187																																																																																										
651	0.156	0.128	0.124	0.133	0.174	0.186																																																																																										
652	0.156	0.127	0.124	0.132	0.174	0.186																																																																																										
653	0.155	0.126	0.123	0.131	0.173	0.185																																																																																										
654	0.155	0.126	0.123	0.131	0.173	0.184																																																																																										
655	0.154	0.125	0.122	0.130	0.172	0.183																																																																																										
656	0.153	0.125	0.122	0.130	0.172	0.183																																																																																										
657	0.153	0.124	0.121	0.129	0.171	0.182																																																																																										
658	0.152	0.123	0.121	0.129	0.171	0.182																																																																																										
659	0.152	0.123	0.120	0.128	0.170	0.181																																																																																										
660	0.151	0.122	0.120	0.128	0.170	0.180																																																																																										
661	0.150	0.122	0.119	0.127	0.169	0.180																																																																																										
662	0.150	0.121	0.119	0.127	0.169	0.179																																																																																										
663	0.149	0.121	0.118	0.126	0.168	0.178																																																																																										
664	0.148	0.120	0.118	0.126	0.168	0.178																																																																																										
665	0.148	0.119	0.118	0.125	0.167	0.177																																																																																										
666	0.147	0.119	0.117	0.125	0.167	0.177																																																																																										
667	0.147	0.118	0.117	0.124	0.167	0.176																																																																																										
668	0.146	0.118	0.116	0.124	0.166	0.175																																																																																										
669	0.146	0.117	0.116	0.123	0.166	0.175																																																																																										
670	0.145	0.117	0.116	0.123	0.165	0.174																																																																																										
671	0.145	0.116	0.115	0.122	0.165	0.174																																																																																										
672	0.144	0.116	0.115	0.122	0.164	0.173																																																																																										
673	0.144	0.115	0.114	0.121	0.164	0.173																																																																																										
674	0.143	0.115	0.114	0.121	0.163	0.172																																																																																										
675	0.143	0.114	0.114	0.120	0.163	0.172																																																																																										
676	0.143	0.114	0.113	0.120	0.163	0.171																																																																																										
677	0.142	0.113	0.113	0.119	0.162	0.171																																																																																										
678	0.141	0.113	0.112	0.119	0.162	0.170																																																																																										
679	0.141	0.112	0.112	0.118	0.161	0.170																																																																																										
680	0.141	0.112	0.112	0.118	0.161	0.169																																																																																										
681	0.140	0.111	0.111	0.118	0.161	0.169																																																																																										
682	0.140	0.111	0.111	0.117	0.160	0.168																																																																																										
683	0.139	0.110	0.111	0.117	0.160	0.168																																																																																										
684	0.139	0.110	0.110	0.117	0.160	0.167																																																																																										
685	0.139	0.110	0.110	0.116	0.159	0.167																																																																																										
686	0.138	0.109	0.110	0.116	0.159	0.166																																																																																										
687	0.138	0.109	0.109	0.115	0.158	0.166																																																																																										
688	0.138	0.108	0.109	0.115	0.158	0.165																																																																																										
689	0.137	0.108	0.108	0.115	0.157	0.165																																																																																										
690	0.137	0.107	0.108	0.114	0.157	0.165																																																																																										
691	0.137	0.107	0.108	0.114	0.157	0.164																																																																																										
692	0.136	0.107	0.107	0.113	0.156	0.163																																																																																										
693	0.136	0.106	0.107	0.113	0.156	0.163																																																																																										
694	0.136	0.106	0.107	0.113	0.156	0.163																																																																																										
695	0.136	0.106	0.107	0.112	0.155	0.162																																																																																										
696	0.135	0.105	0.106	0.112	0.155	0.162																																																																																										
697	0.135	0.105	0.106	0.112	0.154	0.161																																																																																										
698	0.135	0.105	0.106	0.112	0.154	0.161																																																																																										
699	0.135	0.105	0.106	0.111	0.154	0.161																																																																																										
700	0.134	0.104	0.105	0.111	0.154	0.160																																																																																										
701	0.134	0.104	0.105	0.111	0.153	0.160																																																																																										
702	0.134	0.104	0.105	0.110	0.153	0.159																																																																																										
703	0.134	0.104	0.105	0.110	0.153	0.159																																																																																										
704	0.134	0.103	0.105	0.110	0.153	0.159																																																																																										
705	0.133	0.103	0.105	0.110	0.153	0.159																																																																																										
706	0.133	0.103	0.104	0.110	0.153	0.159																																																																																										
707	0.133	0.103	0.104	0.110	0.153	0.159																																																																																										
708	0.133	0.103	0.104	0.110	0.153	0.158																																																																																										
709	0.133	0.102	0.104	0.109	0.153	0.158																																																																																										
710	0.133	0.102	0.104	0.109	0.153	0.158																																																																																										
711	0.133	0.102	0.104	0.109	0.153	0.158																																																																																										
712	0.133	0.102	0.104	0.109	0.152	0.157																																																																																										
713	0.133	0.102	0.104	0.109	0.152	0.157																																																																																										
714	0.133	0.102	0.104	0.109	0.152	0.157																																																																																										
715	0.133	0.102	0.104	0.109	0.152	0.156																																																																																										
716	0.133	0.102	0.104	0.109	0.152	0.156																																																																																										
717	0.133	0.102	0.104	0.109	0.151	0.156																																																																																										
718	0.133	0.102	0.104	0.108	0.151	0.156																																																																																										
719	0.133	0.102	0.104	0.108	0.151	0.156																																																																																										
720	0.133	0.102	0.104	0.108	0.151	0.155																																																																																										
721	0.133	0.102	0.104	0.108	0.151	0.155																																																																																										
722	0.133	0.102	0.104	0.108	0.151	0.155																																																																																										
723	0.133	0.102	0.104	0.108	0.151	0.155																																																																																										
724	0.133	0.102	0.104	0.108	0.151	0.155																																																																																										
725	0.133	0.102	0.104	0.108	0.150	0.154																																																																																										
726	0.133	0.102	0.104	0.108	0.150	0.154																																																																																										
727	0.133	0.102	0.104	0.108	0.150	0.154																																																																																										
728	0.133	0.102	0.104	0.108	0.150	0.154																																																																																										
729	0.134	0.102	0.104	0.108	0.150	0.154																																																																																										
730	0.134	0.102	0.104	0.109	0.150	0.154																																																																																										
731	0.134	0.102	0.105	0.109	0.150	0.154																																																																																										
732	0.134	0.103	0.105	0.109	0.150	0.154																																																																																										
733	0.134	0.103	0.105	0.109	0.151	0.154																																																																																										
734	0.135	0.103	0.106	0.109	0.151	0.154																																																																																										
735	0.135	0.103	0.106	0.110	0.151	0.154																																																																																										
736	0.135	0.104	0.106	0.110	0.151	0.154																																																																																										
737	0.135	0.104	0.106	0.110	0.151	0.154																																																																																										
738	0.135	0.104	0.106	0.110	0.151	0.154																																																																																										
739	0.135	0.104	0.106	0.110	0.151	0.154																																																																																										
740	0.135	0.104	0.106	0.110	0.150	0.154																																																																																										
741	0.135	0.103	0.106	0.110	0.150	0.153																																																																																										
742	0.135	0.103	0.105	0.109	0.150	0.153																																																																																										
743	0.135	0.103	0.105	0.109	0.150	0.153																																																																																										
744	0.135	0.103	0.105	0.109	0.150	0.153																																																																																										
745	0.135	0.103	0.105	0.109	0.149	0.152																																																																																										
746	0.134	0.103	0.105	0.109	0.149	0.152																																																																																										
747	0.134	0.103	0.105	0.109	0.149	0.152																																																																																										
748	0.134	0.103	0.105	0.109	0.149	0.151																																																																																										
749	0.134	0.103	0.105	0.108	0.149	0.151																																																																																										
750	0.134	0.103	0.104	0.109	0.148	0.151																																																																																										
751	0.134	0.102	0.104	0.108	0.148	0.151																																																																																										
752	0.134	0.102	0.104	0.108	0.148	0.150																																																																																										
753	0.134	0.102	0.104	0.108	0.148	0.150																																																																																										
754	0.134	0.102	0.104	0.108	0.148	0.150																																																																																										
